Nome;"Latitude Graus";"Latitude Minutos";"Latitude Segundos";"Longitude Graus";"Longitude Minutos";"Longitude Segundos";"Marca Antena";CEP;Endereco;Numero;Bairro;Cidade;ODU;BUC;"Marca Antena";Empresa
SES-MAIS-4254;22;26;58;45;10;00;skyware;37516-000;"Rua Manoel Frederrico Ribeiro";" 167 ";" Centro";MARMELÓPOLIS;"SL 4033";;;Lider
SES-MAIS-4599;22;26;55;45;09;53;skyware;37516-000;" 	Rua Juvelino Bezerra n°100 paralela com a R. Ministro Tancredo Neves. ";;;MARMELÓPOLIS;"SL 4033";;;Lider
SES-NAUE-3726;17;08;32;40;35;07;skyware;39860-000;"Rua Carlos Gomes n.º 20 - Bairro Vila Nova ";;;NANUQUE;"SL 2000";;;Lider
SES-NAUE-3727;17;08;06;40;35;08;skyware;39860-000;"AV ANHAGUERA ";" n144 ";"Vila Esperança";NANUQUE;"SL 2000";;;Lider
SES-NAUE-3723;17;08;38;40;34;02;skyware;39860-000;"Avenida Mucuri";" 499 ";" Laticinios";NANUQUE;"SL 2000";;;Lider
SES-OLES-4613;21;20;16;43;27;25;skyware;36250-000;" PRAÇA ROSA MISTICA";" nº 75 CENTRO";;"OLIVEIRA FORTES";"SL 2000";;;Lider
"SES-PAOS- 3967";19;27;08;44;44;82;skyware;35669-000;"RUA ANTONIO AMORIM";"S/N ";" CENTRO";PAPAGAIOS;"SL 4033";;;Lider
SES-PATU-3884;17;13;32;46;51;03;skyware;38600-000;"R. Belmira Araujo Neves";450;;PARACATU;"SL 2000";;;Lider
SES-PATU-4125;17;13;02;46;52;32;skyware;38600-000;"Av. Olegário Maciel";" 660 ";" Centro";PARACATU;"SL 4033";;;Lider
SES-PATU-4119;17;13;43;46;51;46;skyware;38600-000;"Rua 06";" lote 15";;PARACATU;"SL 4033";;;Lider
SES-PATU-4118;17;13;33;46;53;00;patriot;38600-000;"Rua Gil da Silva Neiva";" 347";;PARACATU;;;;Lider
SES-PATU-4117;17;12;58;46;52;30;skyware;38600-000;"Rua Tório";" 212";;PARACATU;"SL 4033";;;Lider
SES-PATU-4116;17;12;54;46;51;47;patriot;38600-000;"Travessa do Açude";" 174 ";;PARACATU;;;;Lider
SES-PATU-4115;17;13;12;46;51;41;skyware;38600-00;"R. Antônio Joaquim Moura Pimentel";" 477";;PARACATU;"SL 4033";;;Lider
SES-PATU-4114;17;13;30;46;51;33;skyware;38600-00;"R. Anísio Botelho";" 367 ";" Nossa Senhora de Fátima";PARACATU;"SL 4033";;;Lider
